location,title,rooms,m2,build_material,year,page,kinder_garden,metro_station,price_eur
Ilinden,"Prodavam apartament
 Ilinden, Sofia",3,86,Panel,1982.0,2,0,0,188000
Mladost 4,"Prodava 3-staen, kv. Mladost 4
Mladost 4, Sofia",3,65,Panel,1980.0,2,0,0,195000
Gorna Bana,"Dvustaen apartament 72 kv.m Tuhla 3 etaj
Gorna Bana, Sofia",2,72,Tuhla,1980.0,2,0,1,95000
D_rveniza,"Prodava dvustaen apartament v gr. Sofia, kv. D_rveniza, 155 900 EUR
 D_rveniza, Sofia",2,67,Tuhla,2023.0,2,0,1,155900
Malinova Dolina,"Tristaen apartament s parkomasto v zenata kv. Malinova dolina
Malinova Dolina, Sofia",3,79,Tuhla,2023.0,2,0,1,150000
Sveta Troiza,"Prodava se 2-en v j.k. Sveta Troiza
Sveta Troiza, Sofia",2,56,Panel,1973.0,2,0,1,130000
Kr_stova Vada,"Tristaen apartament v butikova sgrada do MOL Paradajz i Ujnia park
Kr_stova Vada, Sofia",3,131,Tuhla,2024.0,2,0,1,248500
Obela 2,"2-staen Obela-2, sled remont, 52kv.m, et.1, panel, ZENA:109 200 evro
Obela 2, Sofia",2,52,Panel,1987.0,2,0,1,109200
Malinova Dolina,"Tristaen apartament v kv. Malinova Dolina
Malinova Dolina, Sofia",3,92,Tuhla,2024.0,2,0,1,160223
Ovca Kupel,"Prodavam EDNOSTAEN apartament
Ovca Kupel, Sofia",0,30,Tuhla,2024.0,2,0,1,52000
Dianabad,"Tristaen apartament do hotel Vega v Dianabad/Studentski grad
Dianabad, Sofia",3,115,Tuhla,2023.0,2,0,1,189000
Vr_bniza 1,"Prodava tristaen apartament- j.k. Nadejda 3
Vr_bniza 1, Sofia",3,90,Panel,1987.0,2,0,1,165000
Zona B5,"TOP oferta tristaen apartament
 Zona B5, Sofia",3,100,EPK/PK,1986.0,2,0,1,205000
Tolstoj,"Prodajba na imot
Tolstoj, Sofia",2,56,Panel,1970.0,2,1,1,90000
Mladost 2,"Tristaen apartament v j.k. Mladost 2
Mladost 2, Sofia",3,77,Tuhla,2018.0,2,1,1,190000
Strelbise,"Tristaen apartament v kv. Strelbise
Strelbise, Sofia",3,115,Tuhla,2012.0,2,1,1,327500
Vitosa,"Cetiristaen apartament v k-s Modera Rezid_ns
 Vitosa, Sofia",4,334,Tuhla,2020.0,2,1,1,459000
Zent_r,"Tristaen, tuhlen s parkomasto v zent_ra
 Zent_r, Sofia",3,90,Tuhla,1911.0,2,1,1,250000
Lozenez,"Prodavam 3-stajno jilise v Lozenez, s v_zmojnost za garaj i parkomasto
Lozenez, Sofia",3,116,Tuhla,1970.0,2,1,1,265000
Geo Milev,"Tristaen mezonet v Geo Milev
Geo Milev, Sofia",3,140,Tuhla,2023.0,2,1,1,270000
Zent_r,"prodavam 2-staen v Zent_ra, do ul. Antim I
Zent_r, Sofia",2,65,Tuhla,1965.0,2,1,1,129000
Orlandovzi,"Prodavam 2-staen apartament v kv. Orlandovzi
Orlandovzi, Sofia",2,65,Panel,1985.0,2,1,1,80000
Ovca Kupel,"3-staen 106 kv.m., do metro stanzia Ovca Kupel, pred akt 14
Ovca Kupel, Sofia",3,106,Tuhla,2024.0,2,1,1,136000
m. G_rdova glava,"Mnogostaen s dvor - OT STROITEL kv. Boana m. G_rdova glava
 m. G_rdova glava, Sofia",4,466,Tuhla,2023.0,3,0,0,362730
Boana,"Tristaen v Boana - m. G_rdova glava OT STROITEL
 Boana, Sofia",3,109,Tuhla,2023.0,3,0,0,185057
Mladost 1,"Tristaen apartament s dvor v Mladost 1
Mladost 1, Sofia",3,110,Tuhla,2024.0,3,0,0,163000
Manastirski Livadi,"PRED AKT 16! Tristaen apartament v Manastirski livadi
Manastirski Livadi, Sofia",3,105,Tuhla,2023.0,3,0,0,185000
Vitosa,"AKT 16! Ednostaen apartament v kv. Vitosa
Vitosa, Sofia",0,43,Tuhla,2022.0,3,0,0,76000
Ovca Kupel 1,"Prodava 2-en v j.k. Ovca kupel 1
Ovca Kupel 1, Sofia",2,65,Tuhla,2023.0,3,0,0,110000
Boana,"Tristaen apartament kv. Boana
Boana, Sofia",3,123,Tuhla,2010.0,3,0,0,231900
Ovca Kupel 1,"Dvustaen apartament v kv. Ovca kupel 1
Ovca Kupel 1, Sofia",2,70,Panel,1990.0,3,0,1,129900
Malinova Dolina,"Tristaen apartament v Malinova dolina. Akt 14. Dogovor s investitora.
Malinova Dolina, Sofia",3,102,Tuhla,2024.0,3,0,1,168000
Dragalevzi,"Prodava 2-staen v Dragalevzi
Dragalevzi, Sofia",2,143,Tuhla,2014.0,3,0,1,189000
Kr_stova Vada,"3-staen apartament v butikova sgrada do MOL Paradajz, Ujen park
Kr_stova Vada, Sofia",3,114,Tuhla,2024.0,3,0,1,157900
Vitosa,"Dvustaen apartament do Zooparka
Vitosa, Sofia",2,100,Tuhla,2020.0,3,0,1,139000
Kr_stova Vada,"Dvustaen apartament v Kr_stova vada
Kr_stova Vada, Sofia",2,100,Tuhla,2022.0,3,0,1,140000
Vitosa,"Atelie s gradina
Vitosa, Sofia",0,38,Tuhla,2022.0,3,0,1,82000
Zent_r,"Dvustaen apartament v Zent_r
Zent_r, Sofia",2,70,Tuhla,2003.0,3,0,1,156000
Ovca Kupel,"Prodava neprehoden 3-staen, kv. Ovca kupel 2, do spirki
Ovca Kupel, Sofia",3,80,Panel,1986.0,3,0,1,148000
Hadji Dimit_r,"Nov dvustaen apartament v nov kompleks blizo do zent_ra na Sofia
 Hadji Dimit_r, Sofia",2,78.63,Tuhla,2023.0,3,0,1,109296
Hadji Dimit_r,"Tristaen apartament v nov kompleks blizo do zent_ra na Sofia
 Hadji Dimit_r, Sofia",3,116.98,Tuhla,2023.0,3,0,1,181319
Ovca Kupel 2,"Mnogostaen do Metrostanzia Ovca Kupel 2
 Ovca Kupel 2, Sofia",4,182,EPK/PK,1980.0,3,0,1,271180
Malinova Dolina,"Dvustaen Apartament v Malinova Dolina
Malinova Dolina, Sofia",2,63,Tuhla,2023.0,3,0,1,103600
Zona B5,"Tristaen apartament v s_rzeto na Sofia
Zona B5, Sofia",3,100,EPK/PK,1985.0,3,0,1,205000
Manastirski Livadi,"Prodava 3-STAEN grad Sofia, j.k. Manastirski livadi - 180 758 EUR
Manastirski Livadi, Sofia",3,103,Tuhla,2024.0,3,0,1,180758
Boana,"Mnogostaen apartament 203 kv.m Tuhla 2015 g. 3 etaj Neposleden
Boana, Sofia",4,203,Tuhla,2015.0,3,0,1,550000
Malinova Dolina,"Nov proekt v naj-atraktivnata cast na kv. Malinova dolina - do park, magazini Fantastiko i Kaufland
 Malinova Dolina, Sofia",0,60.06,Tuhla,2025.0,3,0,1,77600
Malinova Dolina,"Novi jilisa, moderen dizajn i top lokazia blizo do NSA
 Malinova Dolina, Sofia",2,68.22,Tuhla,2025.0,3,0,1,91039
Malinova Dolina,"Marea SKY II - dokazan stil i kacestvo v kv. Malinova dolina
 Malinova Dolina, Sofia",0,44.91,Tuhla,2024.0,3,0,1,56385
Poduane,"Novostroasa se sgrada na edno ot naj-komunikativnite mesta v Sofia
 Poduane, Sofia",2,38.59,Tuhla,2025.0,3,0,1,69462
Banisora,"Kenar Rezid_ns - sgrada s ozelenen dvor na bul. Slivniza i ul. D. Petkov
 Banisora, Sofia",2,105.04,Tuhla,2024.0,4,0,0,150732
Karpuziza,"Luksozna jilisna sgrada s napredvaso stroitelstvo v kv. Karpuziza
 Karpuziza, Sofia",0,46.46,Tuhla,2024.0,4,0,0,71920
Banisora,"Central Park - masaben kompleks s 12 dka park
 Banisora, Sofia",0,56.58,Tuhla,2000.0,4,0,0,86961
Zent_r,"TOP PREDLOJENIE!! Neveroaten Penthaus v Idealen Zent_r na metri ot S_debna Palata i Vitoska
Zent_r, Sofia",4,501,Tuhla,2022.0,4,0,0,1500000
Drujba 2,"Tristaen apartament v Drujba za prodajba
Drujba 2, Sofia",3,109,Tuhla,2023.0,4,0,0,140000
Sofia,"Prodava nov 2-en v kv. Kr_stova vada
Sofia",2,65,Tuhla,2023.0,4,0,1,124000
Sofia,"Prodava 2-STAEN grad Sofia, j.k. Manastirski livadi, - 107 152 EUR
Sofia",2,66,Tuhla,2024.0,4,0,1,107152
Malinova Dolina,"Dvustaen apartament 75 kv.m Tuhla 2 etaj
 Malinova Dolina, Sofia",2,75,Tuhla,2023.0,4,0,1,126941
Malinova Dolina,"Dvustaen apartament 74 kv.m Tuhla 4 etaj
 Malinova Dolina, Sofia",2,74,Tuhla,2023.0,4,0,1,124757
Malinova Dolina,"Dvustaen apartament 75 kv.m Tuhla 3 etaj
 Malinova Dolina, Sofia",2,75,Tuhla,2023.0,4,0,1,126017
Malinova Dolina,"Dvustaen apartament 72 kv.m Tuhla 2 etaj
 Malinova Dolina, Sofia",2,72,Tuhla,2023.0,4,0,1,121918
Manastirski Livadi,"Dvustaen apartament- kv. Manastirski Livadi, gr. Sofia
 Manastirski Livadi, Sofia",0,64,Tuhla,2023.0,4,0,1,130000
Levski V,"Dvustaen apartament- kv. Levski V, gr. Sofia
 Levski V, Sofia",2,67,Tuhla,2023.0,4,0,1,77000
Drujba 1,"Cetiristaen apartament- kv. Drujba 1, gr. Sofia
Drujba 1, Sofia",4,137,Tuhla,2023.0,4,0,1,145000
Tolstoj,"Tristaen apartament- kv. Tolstoj, gr. Sofia
 Tolstoj, Sofia",3,60,Panel,1967.0,4,0,1,130000
Kr_stova Vada,"Dvustaen apartament v kv. Kr_stova vada
Kr_stova Vada, Sofia",2,70,Tuhla,2022.0,4,0,1,123990
Vitosa,"Mnogostaen apartament v kv. Vitosa
Vitosa, Sofia",4,245,Tuhla,2022.0,4,0,1,269990
Reduta,"Tristaen apartament v Reduta
Reduta, Sofia",3,130,Tuhla,2023.0,4,0,1,235000
Dianabad,"Dvustaen apartament do hotel Vega v Dianabad/Studentski grad
Dianabad, Sofia",2,82,Tuhla,2023.0,4,0,1,138500
Malinova Dolina,"Prodavam Dvustaen Apartament gr. Sofia kv. Malinova Dolina do NSA
 Malinova Dolina, Sofia",2,79,Tuhla,2023.0,4,0,1,114076
Lozenez,"Dvustaen Obzaveden apartament na dve niva v Lozenez blizo do Hotel Marinela i Ujen Park
Lozenez, Sofia",2,70,Tuhla,1990.0,4,0,1,203000
Dragalevzi,"Luksozen dvustaen apartament s top lokazia
 Dragalevzi, Sofia",2,95,Tuhla,2016.0,4,0,1,207000
Lozenez,"Dvustaen apartament v nova moderna sgrada do Ujen park
 Lozenez, Sofia",2,62.79,Tuhla,2023.0,4,0,1,162292
v.z.Malinova dolina,"Cetiristaen penthaus s dve parkomesta v zatvoren kompleks
 v.z.Malinova dolina, Sofia",10,238.96,Tuhla,2023.0,4,0,1,980000
Nadejda 1,"Ujen ednostaen apartament na top masto v Nadejda 1 - do metro
Nadejda 1, Sofia",0,47,Panel,1980.0,4,0,1,81500
Razsadnika,"2-staen Razsadnika
Razsadnika, Sofia",2,63,EPK/PK,1989.0,4,0,1,106000
Vr_bniza 1,"Kompakten dvustaen v kv. Vr_bniza 1, sled osnoven remont
Vr_bniza 1, Sofia",2,46,Panel,1985.0,5,0,0,87600
Nadejda 2,"2-staen apartament
Nadejda 2, Sofia",2,56,EPK/PK,1986.0,5,0,0,105900
Vitosa,"Tristaen obzaveden apartament s Parkomasto v kv. Vitosa na tiha uliza blizo do Zooparka
Vitosa, Sofia",3,91,Tuhla,2012.0,5,0,0,195000
Lulin 10,"Dvustaen v Lulin 10 pred Akt 16
Lulin 10, Sofia",2,93,Tuhla,2023.0,5,0,0,110000
Vitosa,"Dvustaen v nova sgrada na Simeonovsko Sose
 Vitosa, Sofia",2,69,Tuhla,2023.0,5,0,0,96600
Lulin 7,"Dvustaen apartament 55 kv.m EPK/PK 1984 g. 3 etaj Neposleden
Lulin 7, Sofia",2,55,EPK/PK,1984.0,5,0,1,99000
Manastirski Livadi,"Dvustaen apartament 53 kv.m Tuhla 2000 g. 7 etaj Posleden etaj
Manastirski Livadi, Sofia",2,53,Tuhla,2000.0,5,0,1,109000
Levski,"dvustaen ujen apartament s AKT 16 zav_rsen do kluc na Botevgradsko sose
Levski, Sofia",2,71,Tuhla,2023.0,5,0,1,120000
v.z.Malinova dolina,"Dvustaen apartament s akt 14 v novostroasa se sgrada v blizost do NSA v kv. Malinova dolina
v.z.Malinova dolina, Sofia",2,77,Tuhla,2024.0,5,0,1,103817
Razsadnika,"Tristaen apartament 94 kv.m Tuhla 2023 g. 3 etaj
Razsadnika, Sofia",3,94,Tuhla,2023.0,5,0,1,137000
Razsadnika,"Dvustaen apartament 51 kv.m Tuhla 2023 g. 4 etaj
Razsadnika, Sofia",2,51,Tuhla,2023.0,5,0,1,64000
Lulin 5,"Apartament v Lulin
 Lulin 5, Sofia",10,139,Tuhla,2023.0,5,0,1,145929
Nadejda 4,"novo stroitelstvo
 Nadejda 4, Sofia",3,131,Tuhla,2025.0,5,0,1,169377
Nadejda 4,"Apartament j.k. Nadejda 4
 Nadejda 4, Sofia",3,104,Tuhla,2025.0,5,0,1,134637
m. G_rdova glava,"Luksozen prostoren 3-staen apartament v m. G_rdova glava
m. G_rdova glava, Sofia",3,129,Tuhla,2010.0,5,0,1,239556
m. G_rdova glava,"Luksozen prostoren 3-staen apartament v m. G_rdova glava
m. G_rdova glava, Sofia",3,141,Tuhla,2010.0,5,0,1,261775
Strelbise,"Prodava 3-staen EPK v jk Strelbise, Sofia, zena: 213000evro
Strelbise, Sofia",3,98,EPK/PK,1980.0,5,0,1,213000
Drujba 1,"Prodava obsiren 3-staen v Drujba-1, na ul. ”Dimit_r Spisarevski”, Zena:
Drujba 1, Sofia",3,90,Panel,1980.0,5,0,1,136000
Zent_r,"Prodava 3-staen idealen zent_r Sofia, do NDK, Zena: 270 000evro
Zent_r, Sofia",3,70,Tuhla,1941.0,5,0,1,270000
D_rveniza,"Castno lize prodava PoluSuterenen parteren apartament / ofis / sklad 86kv.m.
 D_rveniza, Sofia",3,86,Tuhla,2007.0,5,0,1,105000
Zent_r,"tristaen v Idealen Zent_r s_s zema 24kv GOTOVI DOKUMENTI - metro Serdika
 Zent_r, Sofia",3,69,Tuhla,1950.0,5,0,1,189000
Fondovi Jilisa,"Dvustaen apartament 68 kv.m EPK/PK 1980 g. 13 etaj
Fondovi Jilisa, Sofia",2,68,EPK/PK,1980.0,5,0,1,129900
Suhata reka,"Tristaen apartament 88 kv.m Panel 1998 g. 4 etaj
Suhata reka, Sofia",3,88,Panel,1998.0,5,0,1,183000
Drujba 1,"Dvustaen apartament 59 kv.m Tuhla 2023 g. 5 etaj
Drujba 1, Sofia",2,59,Tuhla,2023.0,5,0,1,101200
Drujba 1,"Dvustaen apartament 70 kv.m EPK/PK 1985 g. 3 etaj
Drujba 1, Sofia",2,70,EPK/PK,1985.0,5,0,1,105000
Malinova Dolina,"Tristaen apartament, kv. ”Vitosa”
Malinova Dolina, Sofia",3,127,Tuhla,2023.0,5,0,1,219000
Zapaden Park,"3-staen apartament Zapaden Park
Zapaden Park, Sofia",3,60,Panel,1975.0,5,0,1,144000
Krasna Polana,"Prodava tristaen apartament v kv. ”Krasna polana”
Krasna Polana, Sofia",3,88,Tuhla,2026.0,5,0,1,118922
Kr_stova Vada,"Prodava tristaen apartament v butikov kompleks
Kr_stova Vada, Sofia",3,121,Tuhla,2024.0,5,0,1,226716
Kr_stova Vada,"Prodava tristaen apartament s top lokazia
Kr_stova Vada, Sofia",3,121,Tuhla,2024.0,6,0,0,218574
Krasna Polana,"Prodava tristaen apartament v kv. ”Krasna polana”
Krasna Polana, Sofia",3,85,Tuhla,2026.0,6,0,0,119658
Krasna Polana,"Prodava cetiristaen apartament v kv. ”Krasna polana”
Krasna Polana, Sofia",4,135,Tuhla,2026.0,6,0,0,189378
Krasna Polana,"Prodava tristaen apartament v kv. ”Krasna polana”
Krasna Polana, Sofia",3,94,Tuhla,2026.0,6,0,0,123201
Krasna Polana,"Prodava cetiristaen apartament v kv. ”Krasna polana”
Krasna Polana, Sofia",4,121,Tuhla,2026.0,6,0,0,170226
Kr_stova Vada,"Prodava Tristaen apartament s Razresenie za polzvane v kv. Kr_stova vada
Kr_stova Vada, Sofia",3,180,Tuhla,2021.0,6,0,0,315317
Kr_stova Vada,"Prodava tristaen apartament v butikov kompleks
Kr_stova Vada, Sofia",3,114,Tuhla,2024.0,6,0,0,212598
Sveta Troiza,"Investitor prodava posleden tristaen apartament! Akt 14!
 Sveta Troiza, Sofia",3,127,Tuhla,2022.0,6,0,0,243667
Zent_r,"Prodavam dvustajno jilise v top zent_r
Zent_r, Sofia",2,70,Tuhla,1946.0,6,0,0,217000
Lulin 6,"Dvustaen apartament v j.k. Lulin-6
Lulin 6, Sofia",2,70,Tuhla,2021.0,6,0,0,79000
Manastirski Livadi,"Tristaen, obzaveden, top_l v Man. Livadi
Manastirski Livadi, Sofia",3,80,Tuhla,2013.0,6,0,0,168000
Nadejda 2,"Tri spalni, nap_lno obzaveden v kv. Nadejda 2
Nadejda 2, Sofia",4,110,EPK/PK,1986.0,6,0,1,167900
Zent_r,"Prodavam cudesen apartament v Top zent_r, ul. Alabin
Zent_r, Sofia",3,60,Tuhla,1950.0,6,0,1,214888
Zent_r,"Prodavam tristaen apartament do operata
Zent_r, Sofia",3,92,Tuhla,1945.0,6,0,1,308888
Zent_r,"Prodavam tristaen apartament na bul. Vitosa
Zent_r, Sofia",3,87,Tuhla,1940.0,6,0,1,154888
Ovca Kupel,"Prodava nov 3-staen v j.k. Ovca kupel
Ovca Kupel, Sofia",3,120,Tuhla,2024.0,6,0,1,180419
Manastirski Livadi,"Apartament 53 kv.m. ot Sobstvenik - Nap_lno obzaveden, Akt 16 ot 2012 g - TOP Lokazia
 Manastirski Livadi, Sofia",2,53,Tuhla,2009.0,6,0,1,149998
Malinova Dolina,"Prodava prostoren dvustaen apartament v Malinova dolina
Malinova Dolina, Sofia",2,76,Tuhla,2023.0,6,0,1,129000
Vitosa,"Prodava uuten, nap_lno obzaveden dvustaen apartament v kv. Vitosa
Vitosa, Sofia",2,91,Tuhla,2008.0,6,0,1,173000
Oborise,"Prodava tristaen apartament v kv. Oborise, gr. Sofia
Oborise, Sofia",3,82,Tuhla,1968.0,6,0,1,210000
Lulin 5,"Bez komisiona! Dvustaen apartament Lulin 5
Lulin 5, Sofia",2,71,Tuhla,2023.0,6,0,1,80522
Mladost 3,"Bez komisiona! Tristaen apartament Mladost 3
Mladost 3, Sofia",3,127,Tuhla,2024.0,6,0,1,249000
Levski G,"AKT 16! Dvustaen obzaveden apartament Levski G
Levski G, Sofia",2,74,Tuhla,2023.0,6,0,1,148000
Manastirski Livadi,"Dvustaen apartament Manastirski livadi
Manastirski Livadi, Sofia",2,66,Tuhla,2023.0,6,0,1,99000
Mladost 1,"Tristaen apartament Mladost 1
Mladost 1, Sofia",3,103,EPK/PK,1980.0,6,0,1,201000
Krasno Selo,"Bez komisiona! Mezonet Krasno selo
Krasno Selo, Sofia",10,123,Tuhla,2023.0,6,0,1,185163
Malinova Dolina,"Dvustaen apartament Malinova dolina
Malinova Dolina, Sofia",2,78,Tuhla,2023.0,6,0,1,105300
s. Kladniza,"Bez komisiona! Tristaen apartament s. Kladniza
s. Kladniza, Sofia",3,90,Tuhla,2024.0,6,0,1,149869
Mladost 3,"Bez komisiona! Dvustaen apartament Mladost 3
Mladost 3, Sofia",2,77,Tuhla,2024.0,6,0,1,140000
Nadejda 1,"Mezonet Nadejda 1 Pred AKT 16
Nadejda 1, Sofia",10,104,Tuhla,2023.0,7,0,0,160000
Lozenez,"Dvustaen apartament v novostroasa sgrada v kv. Lozenez
Lozenez, Sofia",2,70,Tuhla,2027.0,7,0,1,187839
Hadji Dimit_r,"Sobstvenik prodava golam tristaen apartament s garaj
Hadji Dimit_r, Sofia",3,109,Tuhla,2023.0,7,0,1,168376
Hladilnika,"Cudesen Penthaus v Belia kvartal
Hladilnika, Sofia",4,251,Tuhla,2023.0,7,0,1,564750
Hladilnika,"3-sten parter s golam dvor v Belia kvartal
Hladilnika, Sofia",3,115,Tuhla,2023.0,7,0,1,248500
Goze Delcev,"Prodava se dvustaen tuhla v Goze Delcev
Goze Delcev, Sofia",2,86,Tuhla,1995.0,7,0,1,175000
Goze Delcev,"Prodava se tristaen tuhla v Goze Delcev
Goze Delcev, Sofia",3,114,Tuhla,1995.0,7,0,1,258000
Malinova Dolina,"Dvustaen apartament, Malinova dolina
Malinova Dolina, Sofia",2,69,Tuhla,2024.0,7,0,1,86250
Malinova Dolina,"Dvustaen apartament, Malinova dolina
Malinova Dolina, Sofia",2,65,Tuhla,2024.0,7,0,1,81000
Malinova Dolina,"Obzaveden dvustaen apartament za prodajba v nova sgrada
 Malinova Dolina, Sofia",2,62.82,Tuhla,2023.0,7,0,1,169000
Lulin 1,"Prodavam ednostaen
 Lulin 1, Sofia",0,38,EPK/PK,1980.0,7,0,1,70000
Lulin 1,"prodavam dvustaen
Lulin 1, Sofia",2,60,EPK/PK,1980.0,7,1,1,88000
Malinova Dolina,"Dvustaen apartament, Malinova dolina
Malinova Dolina, Sofia",2,68,Tuhla,2024.0,7,1,1,85700
Karpuziza,"Kompakten tristaen v nova sgrada
Karpuziza, Sofia",3,90,Tuhla,2023.0,7,1,1,136800
Karpuziza,"Bez komisionna! Stilen apartament s parkomasto v Karpuziza
Karpuziza, Sofia",2,76,Tuhla,2021.0,7,1,1,187000
Dianabad,"Kompakten tristaen imot v butikova sgrada pred Akt 16
Dianabad, Sofia",3,115,Tuhla,2023.0,7,1,1,189000
Medizinska akademia,"Bul. ”Praga”, 4-staen apartament, Prodavam.
 Medizinska akademia, Sofia",4,168,Tuhla,1965.0,7,1,1,240000
Lulin 5,"Dvustaen apartament v Lulin 5
Lulin 5, Sofia",2,42,Panel,1985.0,7,1,1,65500
Zent_r,"Idealen zent_r, bul. ”Praga” do ”Pette k_oseta”. 4-staen, Prodavam.
 Zent_r, Sofia",4,168,Tuhla,1965.0,7,1,1,240000
Zent_r,"Mnogostaen apartament 137 kv.m Tuhla 1950 g. 4 etaj
Zent_r, Sofia",4,137,Tuhla,1950.0,7,1,1,430000
Lulin 5,"Ednostaen apartament 46 kv.m Panel 1978 g. 4 etaj
Lulin 5, Sofia",0,46,Panel,1978.0,7,1,1,89000
Oborise,"Castno lize prodava ednostaen apartament v idealen zent_r na Gr. Sofia
 Oborise, Sofia",0,38,Tuhla,1963.0,7,1,1,115000
Lulin 2,"Tristaen apartament 74 kv.m Tuhla 1988 g. 7 etaj
Lulin 2, Sofia",3,74,Tuhla,1988.0,7,1,1,117000
Lulin 1,"Ednostaen apartament 46 kv.m Panel 1980 g. 8 etaj
Lulin 1, Sofia",0,46,Panel,1980.0,7,1,1,90000
Drujba 2,"Dvustaen apartament 67 kv.m Panel 1990 g. 4 etaj
Drujba 2, Sofia",2,67,Panel,1990.0,7,1,1,135000
Levski G,"Tristaen apartament 93 kv.m Panel 1988 g. 1 etaj
Levski G, Sofia",3,93,Panel,1988.0,7,1,1,138000
Mladost 1,"mladost tristaen
Mladost 1, Sofia",3,110,Tuhla,2006.0,7,1,1,198000
Malinova Dolina,"Dvustaen apartament, Malinova dolina
Malinova Dolina, Sofia",2,62,Tuhla,2024.0,7,1,1,78300
Nadejda 1,"Garsoniera v j.k. Nadejda 1
 Nadejda 1, Sofia",0,44,Panel,1976.0,7,1,1,72000
Lozenez,"3st. Lozenez obzaveden
Lozenez, Sofia",3,78,Tuhla,1960.0,7,1,1,215000
Oborise,"Ot sobstvenik -Top - lokazia - tristaen v zent_ra na Sofia rajon Oborise!
Oborise, Sofia",3,99,Tuhla,2023.0,8,0,0,296000
Zent_r,"2 staen Sofia Zent_r Remontiran i obzaveden Gotov za nanasane
Zent_r, Sofia",2,60,Tuhla,1965.0,8,0,0,97000
Zent_r,"3 staen v Zent_ra na Sofia do Halite
Zent_r, Sofia",3,60,Tuhla,1965.0,8,0,0,97000
Zent_r,"Dvustaen apartament v stroej
 Zent_r, Sofia",2,70,Tuhla,2023.0,8,0,0,172500
Manastirski Livadi,"134 000E-kv. Manastirski livadi iztok, pred Akt 16, posledni dvustajni apartamenti
Manastirski Livadi, Sofia",2,84,Tuhla,2022.0,8,0,0,134000
Banisora,"Dvustaen s parkomasto i kuhna ot sobstvenik
 Banisora, Sofia",2,70,Tuhla,1971.0,8,0,0,158000
Kr_stova Vada,"Tristaen kv. Kr_stova vada
Kr_stova Vada, Sofia",3,116,Tuhla,2024.0,8,0,0,240000
Strelbise,"Dvustaen Strelbise
 Strelbise, Sofia",2,68,Tuhla,2010.0,8,1,0,175500
Malinova Dolina,"Ednostaen Apartament
 Malinova Dolina, Sofia",0,40,Tuhla,2023.0,8,1,0,60.60
